n_shared_perturbations,n_comparable_risk_pairs,n_risk_inversions,risk_inversion_rate,confidence_tracking_rate,n_confidence_comparable_inversions,risk_rank_spearman,risk_rank_kendall,method,comparison,left_environment_id,right_environment_id,response_program_shift_mean,response_shift_risk_change_spearman,response_genes,prediction_protocol,response_program_is_descriptive
243,29403,9701,0.3299323198313097,0.14606741573033707,9693,0.48397119062792177,0.3401353603373805,confidence,frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_coculture,0.8733875327968161,0.037154121108418176,8229,five_fold_perturbation_label_OOF,1
244,29646,8387,0.2829049450178776,0.1222129486109455,8379,0.6101780602951562,0.43419010996424473,confidence,frangieh_condition_oof,frangieh_melanoma_control,frangieh_melanoma_ifng,0.8130172051808621,0.03617874593674749,8229,five_fold_perturbation_label_OOF,1
244,29646,8588,0.28968494906564124,0.151839776432231,8584,0.5868984630889391,0.4206301018687175,confidence,frangieh_condition_oof,frangieh_melanoma_coculture,frangieh_melanoma_ifng,0.8383902253639269,0.05115051485074904,8229,five_fold_perturbation_label_OOF,1
